GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC03_EST_VC41,HC03_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC03_EST_VC50,HC03_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC03_EST_VC51,HC03_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53
8600000US38079,38079,ZCTA5 38079,1132,132,1132,132,32500,11614,900,98,79.5,5.4,41029,13233,232,75,20.5,5.4,20577,12818,0,16,0.0,2.6,-,**,0,16,0.0,2.6,-,**,0,16,0.0,2.6,-,**,0,16,0.0,2.6,-,**,0,16,0.0,2.6,-,**,2,4,0.2,0.4,-,**,898,98,79.3,5.3,41103,13339,52,41,4.6,3.5,-,**,289,75,25.5,6.2,35125,24744,443,86,39.1,5.5,31033,15442,348,62,30.7,4.9,40179,12209,768,101,768,101,49167,7753,269,81,35.0,9.8,20398,13257,499,103,65.0,9.8,64018,15999,479,88,62.4,8.7,67697,9474,102,49,13.3,6.2,84464,31477,220,72,28.6,8.2,20682,8953,139,62,18.1,7.7,11635,9092,69,40,9.0,5.1,35938,27920,28,26,3.6,3.4,-,**,(X),(X),(X),(X),46250,15484,(X),(X),(X),(X),52976,13270,(X),(X),(X),(X),-,**,(X),(X),(X),(X),10417,7169,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,196,64,25.5,7.6,21111,12991,226,74,29.4,8.7,22386,14594,273,75,35.5,8.8,67422,7387,73,46,9.5,5.9,88542,53558,364,89,364,89,12926,2400,268,69,73.6,9.5,12766,2034,241,65,66.2,9.9,12188,1827,27,26,7.4,6.9,36458,27140,96,44,26.4,9.5,-,**,71,36,19.5,9.0,9321,8375,25,32,6.9,8.2,60855,10684
8600000US40003,40003,ZCTA5 40003,861,131,861,131,71183,7071,839,137,97.4,3.0,71283,7150,8,14,0.9,1.6,-,**,0,11,0.0,3.4,-,**,0,11,0.0,3.4,-,**,0,11,0.0,3.4,-,**,0,11,0.0,3.4,-,**,14,21,1.6,2.6,-,**,0,11,0.0,3.4,-,**,839,137,97.4,3.0,71283,7150,34,51,3.9,5.8,-,**,208,84,24.2,8.0,61364,16179,431,101,50.1,10.5,76625,10306,188,68,21.8,7.8,67941,49048,542,127,542,127,71895,9890,198,99,36.5,13.6,92500,62895,344,92,63.5,13.6,71190,4836,509,123,93.9,6.7,72917,18638,198,99,36.5,13.6,92500,62895,33,38,6.1,6.7,-,**,0,11,0.0,5.4,-,**,0,11,0.0,5.4,-,**,0,11,0.0,5.4,-,**,(X),(X),(X),(X),72243,16579,(X),(X),(X),(X),55833,14261,(X),(X),(X),(X),113413,22708,(X),(X),(X),(X),71500,9411,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,72,39,13.3,7.6,57143,12024,54,38,10.0,7.5,86364,49726,343,122,63.3,12.1,107946,71501,73,42,13.5,7.3,64904,18669,319,90,319,90,62788,33394,81,54,25.4,16.8,-,**,81,54,25.4,16.8,-,**,0,11,0.0,9.0,-,**,238,90,74.6,16.8,63269,31120,143,74,44.8,19.3,-,**,95,62,29.8,16.5,81250,74382
8600000US40004,40004,ZCTA5 40004,11592,341,11592,341,55531,2531,10694,329,92.3,1.3,56263,2866,712,130,6.1,1.1,45769,9102,21,32,0.2,0.3,-,**,19,30,0.2,0.3,-,**,0,24,0.0,0.3,-,**,65,58,0.6,0.5,-,**,81,32,0.7,0.3,66750,47425,205,71,1.8,0.6,12408,1797,10554,322,91.0,1.4,56673,2894,424,138,3.7,1.2,40000,22016,3693,264,31.9,2.1,63102,5303,4674,265,40.3,2.0,60000,5695,2801,212,24.2,1.7,39034,5815,7813,390,7813,390,68489,4555,3740,297,47.9,3.4,66154,6645,4073,366,52.1,3.4,69795,5456,6002,391,76.8,3.3,78676,4011,2570,305,32.9,3.7,86722,5111,1365,255,17.5,3.1,29077,3272,911,223,11.7,2.8,25404,7753,446,139,5.7,1.8,51944,10583,259,103,3.3,1.3,-,**,(X),(X),(X),(X),59669,5032,(X),(X),(X),(X),67574,10160,(X),(X),(X),(X),85923,10651,(X),(X),(X),(X),73452,16488,(X),(X),(X),(X),77375,36179,(X),(X),(X),(X),72813,39595,1023,221,13.1,2.8,40471,7738,2547,305,32.6,3.7,50657,8166,3207,306,41.0,3.3,87344,6859,1036,241,13.3,3.0,98800,14550,3779,384,3779,384,32005,3108,1974,266,52.2,6.1,22414,5644,1744,259,46.1,6.2,21267,3501,230,111,6.1,2.9,53800,29362,1805,329,47.8,6.1,40383,5812,1326,271,35.1,5.9,38750,5247,479,173,12.7,4.1,44861,11794
8600000US40006,40006,ZCTA5 40006,1870,135,1870,135,50847,11194,1856,135,99.3,1.0,50868,11187,0,11,0.0,1.6,-,**,0,11,0.0,1.6,-,**,0,11,0.0,1.6,-,**,0,11,0.0,1.6,-,**,6,10,0.3,0.5,-,**,8,15,0.4,0.8,-,**,64,65,3.4,3.4,-,**,1792,142,95.8,3.5,50971,11175,86,64,4.6,3.3,-,**,528,131,28.2,6.9,68750,14729,822,141,44.0,6.7,50322,15555,434,88,23.2,4.5,30900,2188,1237,139,1237,139,51354,18628,372,116,30.1,8.5,-,**,865,138,69.9,8.5,52463,18168,1010,136,81.6,6.0,59375,13771,191,92,15.4,7.0,122708,56761,182,75,14.7,5.8,25139,11661,136,70,11.0,5.5,-,**,45,37,3.6,3.0,37411,19187,45,37,3.6,3.0,37411,19187,(X),(X),(X),(X),38654,18418,(X),(X),(X),(X),73000,31829,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),60875,42502,(X),(X),(X),(X),123750,721,369,133,29.8,10.4,16688,11661,334,105,27.0,8.7,51667,12481,371,131,30.0,9.0,72277,53852,163,89,13.2,7.1,95042,3125,633,151,633,151,38015,14581,338,128,53.4,13.6,31181,13940,307,125,48.5,14.1,30799,8788,31,33,4.9,5.0,-,**,295,101,46.6,13.6,42679,14547,227,85,35.9,12.1,37083,16855,68,60,10.7,9.3,81034,512
8600000US40007,40007,ZCTA5 40007,55,34,55,34,86607,59840,55,34,100.0,38.4,86607,59840,0,11,0.0,38.4,-,**,0,11,0.0,38.4,-,**,0,11,0.0,38.4,-,**,0,11,0.0,38.4,-,**,0,11,0.0,38.4,-,**,0,11,0.0,38.4,-,**,0,11,0.0,38.4,-,**,55,34,100.0,38.4,86607,59840,0,11,0.0,38.4,-,**,32,30,58.2,29.8,-,**,0,11,0.0,38.4,-,**,23,16,41.8,29.8,41250,11062,46,33,46,33,102700,33400,32,30,69.6,30.6,-,**,14,14,30.4,30.6,-,**,46,33,100.0,42.0,102700,33400,32,30,69.6,30.6,-,**,0,11,0.0,42.0,-,**,0,11,0.0,42.0,-,**,0,11,0.0,42.0,-,**,0,11,0.0,42.0,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,14,14,30.4,30.6,-,**,0,11,0.0,42.0,-,**,32,30,69.6,30.6,-,**,0,11,0.0,42.0,-,**,9,15,9,15,-,**,9,15,100.0,95.0,-,**,9,15,100.0,95.0,-,**,0,11,0.0,95.0,-,**,0,11,0.0,95.0,-,**,0,11,0.0,95.0,-,**,0,11,0.0,95.0,-,**
8600000US40008,40008,ZCTA5 40008,1331,126,1331,126,47798,7762,1270,127,95.4,2.3,49250,8289,51,27,3.8,2.1,28281,14635,7,11,0.5,0.9,-,**,0,11,0.0,2.2,-,**,0,11,0.0,2.2,-,**,0,11,0.0,2.2,-,**,3,5,0.2,0.4,-,**,0,11,0.0,2.2,-,**,1270,127,95.4,2.3,49250,8289,40,38,3.0,2.8,60227,6971,293,89,22.0,6.5,55583,19164,633,111,47.6,6.6,57721,6212,365,74,27.4,5.2,34375,6145,954,133,954,133,58676,10716,308,100,32.3,8.5,74214,14960,646,105,67.7,8.5,51500,13169,815,132,85.4,5.0,59081,11559,253,92,26.5,8.0,74250,19766,80,40,8.4,4.3,36818,28481,33,25,3.5,2.6,76375,34227,59,41,6.2,4.2,68125,55091,22,16,2.3,1.7,51071,28239,(X),(X),(X),(X),48229,9885,(X),(X),(X),(X),62917,41520,(X),(X),(X),(X),66250,16028,(X),(X),(X),(X),55833,55576,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,107,37,11.2,4.0,24844,13728,372,126,39.0,10.8,34013,1356,366,94,38.4,9.0,81618,18301,109,58,11.4,6.2,103063,6750,377,99,377,99,27596,10216,154,53,40.8,11.4,21250,9099,148,51,39.3,11.3,20714,8741,6,9,1.6,2.5,-,**,223,79,59.2,11.4,45139,33770,220,79,58.4,11.4,45000,35881,3,5,0.8,1.5,-,**
8600000US40009,40009,ZCTA5 40009,380,64,380,64,40071,7143,376,63,98.9,1.6,40214,6677,0,11,0.0,7.6,-,**,0,11,0.0,7.6,-,**,4,6,1.1,1.6,-,**,0,11,0.0,7.6,-,**,0,11,0.0,7.6,-,**,0,11,0.0,7.6,-,**,3,9,0.8,2.5,-,**,373,65,98.2,3.0,40321,6218,5,5,1.3,1.4,-,**,125,53,32.9,11.0,47583,13534,152,39,40.0,9.7,29868,4791,98,37,25.8,9.6,35938,22479,249,63,249,63,43583,7462,71,29,28.5,10.8,49917,10883,178,57,71.5,10.8,41429,4769,192,56,77.1,9.6,44500,10532,54,28,21.7,10.5,62778,22532,31,20,12.4,7.3,20417,2746,10,8,4.0,3.2,6875,3416,26,17,10.4,7.0,47917,3319,7,8,2.8,3.2,45313,23705,(X),(X),(X),(X),41607,3400,(X),(X),(X),(X),53571,40382,(X),(X),(X),(X),71250,36017,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,31,20,12.4,7.6,20750,4323,81,31,32.5,13.4,32917,14820,135,58,54.2,15.1,53750,14255,2,4,0.8,1.6,-,**,131,42,131,42,19904,11623,66,30,50.4,17.9,18571,7947,61,29,46.6,17.2,18393,8563,5,6,3.8,4.8,-,**,65,32,49.6,17.9,26458,21879,60,32,45.8,18.0,25417,20090,5,8,3.8,5.7,-,**
8600000US40010,40010,ZCTA5 40010,193,69,193,69,87188,68156,193,69,100.0,14.4,87188,68156,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,193,69,100.0,14.4,87188,68156,0,11,0.0,14.4,-,**,123,68,63.7,18.3,-,**,42,26,21.8,15.5,-,**,28,19,14.5,10.9,-,**,193,69,193,69,87188,68156,157,69,81.3,13.5,91719,78285,36,23,18.7,13.5,-,**,134,56,69.4,27.9,86667,52903,98,57,50.8,28.5,90938,64794,59,62,30.6,27.9,-,**,59,62,30.6,27.9,-,**,0,11,0.0,14.4,-,**,0,11,0.0,14.4,-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),121172,16382,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,54,48,28.0,24.8,-,**,41,49,21.2,23.0,-,**,62,54,32.1,27.6,-,**,36,26,18.7,14.5,137000,110531,0,11,0,11,-,**,0,11,-,**,-,**,0,11,-,**,-,**,0,11,-,**,-,**,0,11,-,**,-,**,0,11,-,**,-,**,0,11,-,**,-,**
8600000US40011,40011,ZCTA5 40011,965,119,965,119,53340,4629,960,119,99.5,0.8,53281,4909,1,4,0.1,0.4,-,**,0,11,0.0,3.1,-,**,4,7,0.4,0.7,-,**,0,11,0.0,3.1,-,**,0,11,0.0,3.1,-,**,0,11,0.0,3.1,-,**,24,32,2.5,3.3,-,**,936,113,97.0,3.3,53750,4919,79,65,8.2,6.2,33860,1943,228,71,23.6,7.1,71500,21802,349,89,36.2,7.7,58652,3192,309,70,32.0,7.6,41193,10388,727,114,727,114,57266,5917,279,79,38.4,8.8,41736,37676,448,96,61.6,8.8,58295,4987,565,112,77.7,8.0,60972,14215,178,66,24.5,8.0,74773,25805,108,54,14.9,7.1,-,**,61,44,8.4,5.8,-,**,54,34,7.4,4.7,27000,17670,40,31,5.5,4.3,25250,7187,(X),(X),(X),(X),52375,7928,(X),(X),(X),(X),62604,16464,(X),(X),(X),(X),53438,41774,(X),(X),(X),(X),87566,24952,(X),(X),(X),(X),149000,5072,(X),(X),(X),(X),-,**,117,48,16.1,6.5,33487,9781,214,67,29.4,8.4,40862,6895,348,99,47.9,9.4,76250,38121,48,27,6.6,3.8,74545,12082,238,64,238,64,37045,8445,166,56,69.7,12.9,35833,20308,129,37,54.2,13.8,23542,14621,37,40,15.5,14.5,61010,918,72,34,30.3,12.9,37500,12475,70,34,29.4,12.9,37344,9894,2,3,0.8,1.3,-,**
8600000US40012,40012,ZCTA5 40012,180,60,180,60,46806,6414,180,60,100.0,15.3,46806,6414,0,11,0.0,15.3,-,**,0,11,0.0,15.3,-,**,0,11,0.0,15.3,-,**,0,11,0.0,15.3,-,**,0,11,0.0,15.3,-,**,0,11,0.0,15.3,-,**,8,17,4.4,9.2,-,**,172,59,95.6,9.2,47250,8624,0,11,0.0,15.3,-,**,76,45,42.2,19.1,-,**,46,28,25.6,14.3,53611,25215,58,34,32.2,16.6,-,**,135,57,135,57,48385,18393,76,47,56.3,22.7,-,**,59,37,43.7,22.7,43750,8397,112,60,83.0,17.9,49063,25028,63,50,46.7,27.0,-,**,23,23,17.0,17.9,38375,36352,13,16,9.6,12.7,-,**,0,11,0.0,19.8,-,**,0,11,0.0,19.8,-,**,(X),(X),(X),(X),39868,12588,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,7,11,5.2,7.8,-,**,33,28,24.4,19.2,39625,13147,66,52,48.9,29.2,95431,73088,29,33,21.5,23.1,-,**,45,30,45,30,-,**,45,30,100.0,42.5,-,**,45,30,100.0,42.5,-,**,0,11,0.0,42.5,-,**,0,11,0.0,42.5,-,**,0,11,0.0,42.5,-,**,0,11,0.0,42.5,-,**
8600000US40013,40013,ZCTA5 40013,1913,184,1913,184,64243,7658,1844,178,96.4,2.7,64342,7810,56,51,2.9,2.6,-,**,0,16,0.0,1.6,-,**,0,16,0.0,1.6,-,**,0,16,0.0,1.6,-,**,0,16,0.0,1.6,-,**,13,19,0.7,1.0,-,**,0,16,0.0,1.6,-,**,1844,178,96.4,2.7,64342,7810,50,46,2.6,2.3,-,**,515,151,26.9,6.7,91250,16009,879,142,45.9,6.9,64967,6708,469,108,24.5,5.5,38750,14740,1609,190,1609,190,70513,8266,620,140,38.5,6.7,91204,19900,989,146,61.5,6.7,65313,6323,1345,191,83.6,6.1,73224,11839,531,134,33.0,6.8,95197,18112,235,95,14.6,5.9,52188,24380,66,53,4.1,3.3,-,**,29,33,1.8,2.0,60592,36469,23,31,1.4,1.9,-,**,(X),(X),(X),(X),62323,5350,(X),(X),(X),(X),97794,30768,(X),(X),(X),(X),95197,35183,(X),(X),(X),(X),78889,51732,(X),(X),(X),(X),131471,82438,(X),(X),(X),(X),-,**,150,69,9.3,4.3,36786,30470,537,118,33.4,6.6,63920,6038,821,185,51.0,7.9,88365,17570,101,64,6.3,4.1,99625,82819,304,102,304,102,24590,5309,204,81,67.1,15.7,24515,2163,204,81,67.1,15.7,24515,2163,0,16,0.0,9.4,-,**,100,59,32.9,15.7,-,**,84,54,27.6,15.1,-,**,16,25,5.3,8.2,-,**
8600000US40014,40014,ZCTA5 40014,6925,223,6925,223,100869,4117,6552,216,94.6,1.7,100877,3823,202,96,2.9,1.4,78906,54871,20,24,0.3,0.4,-,**,88,36,1.3,0.5,-,**,0,21,0.0,0.4,-,**,0,21,0.0,0.4,-,**,63,39,0.9,0.6,"250,000+",***,190,104,2.7,1.5,55167,22093,6362,220,91.9,2.2,101772,3749,56,46,0.8,0.7,-,**,2219,189,32.0,2.4,108021,9105,3151,163,45.5,2.4,114682,5494,1499,155,21.6,1.9,64137,5134,5849,211,5849,211,109011,4262,2911,223,49.8,3.0,121042,8154,2938,187,50.2,3.0,100393,6102,5098,210,87.2,2.3,116791,5991,2554,194,43.7,2.8,128889,9848,498,115,8.5,1.9,46842,14697,214,90,3.7,1.5,40102,7796,253,85,4.3,1.4,70625,9877,143,72,2.4,1.2,72837,18299,(X),(X),(X),(X),79694,9724,(X),(X),(X),(X),109872,7367,(X),(X),(X),(X),130091,11185,(X),(X),(X),(X),132933,16837,(X),(X),(X),(X),128036,20590,(X),(X),(X),(X),137813,30502,588,98,10.1,1.6,63382,5715,1429,185,24.4,2.8,75122,4589,3084,215,52.7,3.1,120143,9702,748,142,12.8,2.5,140000,12187,1076,170,1076,170,40729,11951,483,116,44.9,10.6,35066,10637,429,109,39.9,10.0,32404,9403,54,42,5.0,3.9,52917,46502,593,170,55.1,10.6,44018,17030,444,125,41.3,8.9,29048,11065,149,101,13.8,8.5,51097,16815
8600000US40019,40019,ZCTA5 40019,1510,160,1510,160,36554,6652,1303,152,86.3,3.5,38250,6688,127,39,8.4,2.4,30868,6460,0,11,0.0,2.0,-,**,0,11,0.0,2.0,-,**,0,11,0.0,2.0,-,**,66,39,4.4,2.6,-,**,14,15,0.9,1.0,81667,48526,85,36,5.6,2.4,-,**,1287,150,85.2,3.3,39050,6599,92,61,6.1,3.8,-,**,457,108,30.3,6.2,35625,12504,573,98,37.9,6.2,43651,5644,388,75,25.7,4.2,32717,4793,994,115,994,115,48750,6625,393,94,39.5,8.1,33221,11442,601,105,60.5,8.1,59034,24941,654,110,65.8,8.5,64167,18187,175,61,17.6,5.7,51875,19019,244,86,24.5,8.2,18125,13091,145,70,14.6,7.0,-,**,96,43,9.7,4.2,32344,8792,73,40,7.3,4.0,31354,7287,(X),(X),(X),(X),48917,11884,(X),(X),(X),(X),53250,13881,(X),(X),(X),(X),58750,47447,(X),(X),(X),(X),41250,37978,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,170,60,17.1,5.8,13690,13632,375,85,37.7,7.6,41250,8077,357,101,35.9,7.8,74205,29580,92,48,9.3,5.2,74375,27766,516,128,516,128,21563,6939,281,91,54.5,13.0,16354,2472,266,91,51.6,13.0,16500,2947,15,18,2.9,3.6,-,**,235,93,45.5,13.0,29097,6545,168,87,32.6,13.2,22031,7857,67,44,13.0,8.5,-,**
8600000US40020,40020,ZCTA5 40020,71,37,71,37,37426,30929,69,36,97.2,9.0,42679,30173,0,11,0.0,33.0,-,**,0,11,0.0,33.0,-,**,0,11,0.0,33.0,-,**,0,11,0.0,33.0,-,**,0,11,0.0,33.0,-,**,2,6,2.8,9.0,-,**,0,11,0.0,33.0,-,**,69,36,97.2,9.0,42679,30173,0,11,0.0,33.0,-,**,16,15,22.5,20.9,-,**,19,17,26.8,20.9,-,**,36,30,50.7,27.0,35882,12771,59,35,59,35,-,**,12,13,20.3,22.3,44643,34173,47,34,79.7,22.3,-,**,49,33,83.1,21.2,-,**,5,6,8.5,11.1,75625,23452,2,6,3.4,10.5,-,**,0,11,0.0,37.0,-,**,8,11,13.6,18.3,-,**,7,11,11.9,18.3,-,**,(X),(X),(X),(X),35956,1655,(X),(X),(X),(X),170000,62014,(X),(X),(X),(X),44286,11614,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,17,27,28.8,36.3,-,**,13,9,22.0,16.8,70313,55700,15,17,25.4,26.1,-,**,14,13,23.7,21.3,169500,54711,12,13,12,13,-,**,8,10,66.7,53.2,9500,2925,8,10,66.7,53.2,9500,2925,0,11,0.0,82.3,-,**,4,7,33.3,53.2,-,**,4,7,33.3,53.2,-,**,0,11,0.0,82.3,-,**
8600000US40022,40022,ZCTA5 40022,319,48,319,48,86250,19415,309,48,96.9,3.6,86932,20942,2,4,0.6,1.3,-,**,0,11,0.0,9.0,-,**,0,11,0.0,9.0,-,**,0,11,0.0,9.0,-,**,8,11,2.5,3.3,-,**,0,11,0.0,9.0,-,**,8,11,2.5,3.3,-,**,309,48,96.9,3.6,86932,20942,0,11,0.0,9.0,-,**,37,22,11.6,6.7,130417,111633,174,43,54.5,10.0,110833,33064,108,31,33.9,8.7,32273,12578,268,45,268,45,105417,29264,96,34,35.8,10.7,130750,36098,172,41,64.2,10.7,86136,24344,239,50,89.2,8.3,105104,32455,77,37,28.7,11.9,130688,35391,26,21,9.7,8.1,97500,94627,16,17,6.0,6.5,-,**,3,5,1.1,1.8,-,**,3,5,1.1,1.8,-,**,(X),(X),(X),(X),77143,23033,(X),(X),(X),(X),126042,43927,(X),(X),(X),(X),93333,84006,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,(X),(X),(X),(X),-,**,52,24,19.4,8.3,38929,30542,79,34,29.5,11.2,68393,64434,86,35,32.1,12.7,126667,28398,51,26,19.0,8.7,131648,35557,51,32,51,32,14485,6131,39,28,76.5,22.6,13603,3149,39,28,76.5,22.6,13603,3149,0,11,0.0,39.9,-,**,12,13,23.5,22.6,-,**,6,9,11.8,17.2,-,**,6,9,11.8,16.1,-,**
8600000US40023,40023,ZCTA5 40023,1752,179,1752,179,101724,16172,1660,178,94.7,2.8,94012,15462,82,51,4.7,2.9,144333,21714,0,11,0.0,1.7,-,**,0,11,0.0,1.7,-,**,0,11,0.0,1.7,-,**,0,11,0.0,1.7,-,**,10,16,0.6,0.9,-,**,0,11,0.0,1.7,-,**,1660,178,94.7,2.8,94012,15462,0,11,0.0,1.7,-,**,607,132,34.6,6.8,121964,16483,892,158,50.9,6.5,93618,22112,253,76,14.4,4.4,75066,24524,1513,170,1513,170,102250,18235,686,134,45.3,7.9,123929,22612,827,162,54.7,7.9,84543,11311,1402,176,92.7,3.7,107826,14038,623,139,41.2,8.3,134306,24177,32,27,2.1,1.8,61429,34470,7,11,0.5,0.7,-,**,79,50,5.2,3.3,64598,10742,56,49,3.7,3.3,63929,11203,(X),(X),(X),(X),77554,9228,(X),(X),(X),(X),114676,11451,(X),(X),(X),(X),126000,45435,(X),(X),(X),(X),145227,107486,(X),(X),(X),(X),160417,92323,(X),(X),(X),(X),-,**,185,72,12.2,4.7,55036,22157,287,81,19.0,5.0,82969,12735,901,166,59.6,8.2,115801,17211,140,72,9.3,4.6,142378,69755,239,114,239,114,91424,23226,53,32,22.2,16.1,64750,45651,43,27,18.0,12.7,-,**,10,16,4.2,7.5,-,**,186,110,77.8,16.1,92384,52646,130,84,54.4,24.6,91570,9051,56,71,23.4,25.1,-,**
